BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Passer italiae,Passer italiae,11,15,11,17,B
Passer domesticus,Passer domesticus,10,14,10,16,B
Passer castanopterus,Passer castanopterus,,,,,
Passer iagoensis,Passer iagoensis,,,,,
Passer simplex,Passer simplex,12,13,12,14,B
Passer zarudnyi,Passer zarudnyi,12,13,12,14,B
Passer euchlorus,Passer euchlorus,,,,,F
Passer luteus,Passer luteus,10,12,13,14,B
Passer moabiticus,Passer moabiticus,12,,14,15,F
Bubalornis albirostris,Bubalornis albirostris,,,,,F
Bubalornis niger,Bubalornis niger,11,14,20,23,F
Dinemellia dinemelli,Dinemellia dinemelli,,,14,14,
Plocepasser mahali,Plocepasser mahali,14,16,17,23,F
Plocepasser superciliosus,Plocepasser superciliosus,,,,,
Plocepasser donaldsoni,Plocepasser donaldsoni,,,,,
Plocepasser rufoscapulatus,Plocepasser rufoscapulatus,,,,,
Histurgops ruficauda,Histurgops ruficauda,,,,,
Pseudonigrita arnaudi,Pseudonigrita arnaudi,13,14,20,20,B
Pseudonigrita cabanisi,Pseudonigrita cabanisi,,,,,
Philetairus socius,Philetairus socius,13,14,21,24,B
Sporopipes squamifrons,Sporopipes squamifrons,10,12,14,18,F
Sporopipes frontalis,Sporopipes frontalis,,,,,F
Amblyospiza albifrons,Amblyospiza albifrons,14,16,18,20,F
Ploceus baglafecht,Ploceus baglafecht,11,15,15,19,F
Ploceus bannermani,Ploceus bannermani,,,,,
Ploceus batesi,Ploceus batesi,,,,,
Ploceus nigrimentus,Ploceus nigrimentus,,,,,
Ploceus bertrandi,Ploceus bertrandi,,,,,
Ploceus pelzelni,Ploceus pelzelni,15,,,,"F,B"
Ploceus subpersonatus,Ploceus subpersonatus,,,,,
Ploceus luteolus,Ploceus luteolus,12,12,18,20,B
Ploceus ocularis,Ploceus ocularis,13,14,15,19,B
Ploceus brachypterus,Ploceus brachypterus,,,,,B
Ploceus nigricollis,Ploceus nigricollis,,,,,F
Ploceus alienus,Ploceus alienus,,,,,
Ploceus melanogaster,Ploceus melanogaster,,,,,F
Ploceus capensis,Ploceus capensis,13,14,17,17,F
Ploceus temporalis,Ploceus temporalis,,,,,
Ploceus subaureus,Ploceus subaureus,,,19,22,F
Ploceus xanthops,Ploceus xanthops,14,15,19,22,
Ploceus aurantius,Ploceus aurantius,13,14,13,16,F
Ploceus heuglini,Ploceus heuglini,12,13,14,18,F
Ploceus bojeri,Ploceus bojeri,,,,,
Ploceus castaneiceps,Ploceus castaneiceps,13,13,16,16,
Ploceus princeps,Ploceus princeps,,,,,
Ploceus castanops,Ploceus castanops,,,,,
Ploceus xanthopterus,Ploceus xanthopterus,14,17,14,19,F
Ploceus holoxanthus,Ploceus holoxanthus,,,,,
Ploceus burnieri,Ploceus burnieri,,,,,
Ploceus galbula,Ploceus galbula,14,15,18,,F
Ploceus taeniopterus,Ploceus taeniopterus,,,,,F
Ploceus intermedius,Ploceus intermedius,13,13,15,15,F
Ploceus velatus,Ploceus velatus,14,,16,,F
Ploceus katangae,Ploceus katangae,,,,,
Ploceus ruweti,Ploceus ruweti,,,,,
Ploceus reichardi,Ploceus reichardi,,,,,
Ploceus vitellinus,Ploceus vitellinus,12,13,14,16,F
Ploceus spekei,Ploceus spekei,11,,16,,F
Ploceus spekeoides,Ploceus spekeoides,,,,,
Ploceus cucullatus,Ploceus cucullatus,12,14,17,21,F
Ploceus grandis,Ploceus grandis,,,,,
Ploceus castaneofuscus,Ploceus castaneofuscus,14,14,17,17,F
Ploceus nigerrimus,Ploceus nigerrimus,,,,,F
Ploceus weynsi,Ploceus weynsi,,,,,
Ploceus golandi,Ploceus golandi,,,,,
Ploceus dichrocephalus,Ploceus dichrocephalus,,,,,
Ploceus melanocephalus,Ploceus melanocephalus,,,,,F
Ploceus jacksoni,Ploceus jacksoni,,,,,
Ploceus badius,Ploceus badius,,,,,
Ploceus rubiginosus,Ploceus rubiginosus,11,14,13,16,F
Ploceus aureonucha,Ploceus aureonucha,,,,,
Ploceus tricolor,Ploceus tricolor,,,,,
Ploceus albinucha,Ploceus albinucha,,,,,
Ploceus nelicourvi,Ploceus nelicourvi,,,,,F
Ploceus sakalava,Ploceus sakalava,,,,,F
Ploceus hypoxanthus,Ploceus hypoxanthus,,,,,F
Ploceus superciliosus,Pachyphantes superciliosus,,,,,
Ploceus benghalensis,Ploceus benghalensis,13,15,15,15,F
Ploceus manyar,Ploceus manyar,14,17,17,18,B
Ploceus philippinus,Ploceus philippinus,14,15,13,23,F
Ploceus megarhynchus,Ploceus megarhynchus,14,15,12,15,F
Ploceus bicolor,Ploceus bicolor,15,17,22,22,B
Ploceus preussi,Ploceus preussi,,,,,
Ploceus dorsomaculatus,Ploceus dorsomaculatus,,,,,
Ploceus olivaceiceps,Ploceus olivaceiceps,,,,,B
Ploceus nicolli,Ploceus nicolli,,,,,
Ploceus insignis,Ploceus insignis,,,,,
Ploceus angolensis,Ploceus angolensis,,,,,
Ploceus sanctithomae,Ploceus sanctithomae,,,,,
Ploceus flavipes,Ploceus flavipes,,,,,
Malimbus coronatus,Malimbus coronatus,,,,,B
Malimbus cassini,Malimbus cassini,,,,,B
Malimbus racheliae,Malimbus racheliae,,,,,
Malimbus ballmanni,Malimbus ballmanni,,,,,
Malimbus scutatus,Malimbus scutatus,,,,,
Malimbus ibadanensis,Malimbus ibadanensis,14,,11,14,F
Malimbus nitens,Malimbus nitens,14,14,16,16,F
Malimbus rubricollis,Malimbus rubricollis,,,,,
Malimbus erythrogaster,Malimbus erythrogaster,,,,,
Malimbus malimbicus,Malimbus malimbicus,,,,,F
Anaplectes rubriceps,Anaplectes rubriceps,11,13,12,17,B
Anaplectes leuconotos,,12,13,12,,B
Anaplectes jubaensis,Anaplectes jubaensis,,,,,
Quelea cardinalis,Quelea cardinalis,12,14,16,18,F
Quelea erythrops,Quelea erythrops,12,14,12,14,F
Quelea quelea,Quelea quelea,10,12,10,11,
Foudia madagascariensis,Foudia madagascariensis,11,14,15,16,F
Foudia eminentissima,Foudia eminentissima,,,,,
Foudia consobrina,,,,,,
Foudia aldabrana,Foudia aldabrana,13,16,15,18,F
Foudia omissa,Foudia omissa,11,14,15,16,
Foudia delloni,Foudia delloni,,,,,
Foudia rubra,Foudia rubra,14,14,18,,F
Foudia sechellarum,Foudia sechellarum,14,14,,,F
Foudia flavicans,Foudia flavicans,13,16,14,,F
Brachycope anomala,Brachycope anomala,,,,,
Euplectes afer,Euplectes afer,12,14,13,,F
Euplectes diadematus,Euplectes diadematus,10,12,11,12,F
Euplectes gierowii,Euplectes gierowii,,,,,
Euplectes nigroventris,Euplectes nigroventris,12,12,13,16,F
Euplectes hordeaceus,Euplectes hordeaceus,12,14,11,16,F
Euplectes orix,Euplectes orix,12,13,11,15,F
Euplectes franciscanus,Euplectes franciscanus,13,14,14,16,F
Euplectes aureus,Euplectes aureus,13,14,15,21,F
Euplectes capensis,Euplectes capensis,13,16,14,20,F
Euplectes axillaris,Euplectes axillaris,12,14,15,16,F
Euplectes macroura,Euplectes macroura,12,14,15,15,F
Euplectes hartlaubi,Euplectes hartlaubi,,,,,
Euplectes psammacromius,Euplectes psammacromius,,,,,
Euplectes albonotatus,Euplectes albonotatus,12,15,11,14,F
Euplectes ardens,Euplectes ardens,12,15,14,17,F
Euplectes laticauda,Euplectes laticauda,13,14,16,16,F
Euplectes progne,Euplectes progne,12,14,17,,F
Euplectes jacksoni,Euplectes jacksoni,12,13,17,17,F
Heteromunia pectoralis,Heteromunia pectoralis,12,14,21,,B
Oreostruthus fuliginosus,Oreostruthus fuliginosus,,,,,
Stagonopleura guttata,Stagonopleura guttata,14,,21,23,B
Stagonopleura oculata,Stagonopleura oculata,14,14,21,24,
Stagonopleura bella,Stagonopleura bella,14,16,25,27,
Neochmia phaeton,Neochmia phaeton,14,,20,22,F
Neochmia evangelinae,,14,14,20,22,F
Neochmia temporalis,Neochmia temporalis,13,15,21,21,
Emblema pictum,Emblema pictum,13,14,21,25,
Neochmia ruficauda,Emblema ruficauda,12,15,21,21,
Neochmia modesta,Emblema modesta,12,12,21,21,
Taeniopygia bichenovii,Stizoptera bichenovii,11,12,19,19,
Taeniopygia guttata,Taeniopygia guttata,,,,,
Taeniopygia castanotis,,11,14,17,18,
Poephila personata,Poephila personata,13,15,20,23,B
Poephila acuticauda,Poephila acuticauda,13,14,21,21,B
Poephila cincta,Poephila cincta,12,14,21,22,
Spermestes griseicapilla,Spermestes griseicapilla,13,14,22,23,
Spermestes cucullata,Spermestes cucullata,14,14,14,20,
Spermestes fringilloides,Spermestes fringilloides,13,14,21,,
Spermestes bicolor,Spermestes bicolor,14,14,16,21,
Lepidopygia nana,Lepidopygia nana,,,21,33,B
Euodice cantans,Euodice cantans,11,13,21,21,
Euodice malabarica,Euodice malabarica,12,14,21,23,
Padda oryzivora,Padda oryzivora,13,15,15,32,B
Padda fuscata,Padda fuscata,13,16,29,34,
Lonchura tristissima,Mayrimunia tristissima,14,14,,,
Lonchura leucosticta,Mayrimunia leucosticta,14,14,,,
Lonchura punctulata,Lonchura punctulata,14,14,18,19,
Lonchura kelaarti,Lonchura kelaarti,,,,,
Lonchura molucca,Lonchura molucca,15,16,18,21,
Lonchura striata,Lonchura striata,14,14,21,25,
Lonchura fuscans,Lonchura fuscans,14,14,20,23,
Lonchura leucogastra,Lonchura leucogastra,14,16,10,21,
Lonchura leucogastroides,Lonchura leucogastroides,13,13,18,20,
Lonchura malacca,Lonchura malacca,12,13,21,,
Lonchura atricapilla,Lonchura atricapilla,12,13,21,,
Lonchura ferruginosa,Lonchura ferruginosa,13,14,21,,
Lonchura maja,Lonchura maja,12,13,21,21,
Lonchura pallida,Lonchura pallida,14,16,20,22,
Lonchura grandis,Lonchura grandis,14,14,21,21,
Lonchura teerinki,Lonchura teerinki,14,15,21,24,
Lonchura montana,Lonchura montana,,,,,
Lonchura monticola,Lonchura monticola,,,,,
Lonchura vana,Lonchura vana,,,,,
Lonchura nevermanni,Lonchura nevermanni,12,14,20,22,
Lonchura caniceps,Lonchura caniceps,,,,,
Lonchura spectabilis,Lonchura spectabilis,14,15,18,21,
Lonchura forbesi,Lonchura forbesi,,,,,
Lonchura hunsteini,Lonchura hunsteini,,,,,
,Lonchura nigerrima,,,,,
Lonchura flaviprymna,Lonchura flaviprymna,12,14,21,21,B
Lonchura quinticolor,Lonchura quinticolor,14,16,21,21,B
Lonchura castaneothorax,Lonchura castaneothorax,13,14,16,19,
Lonchura stygia,Lonchura stygia,15,15,21,23,
Lonchura melaena,Lonchura melaena,,,,,
Chloebia gouldiae,Chloebia gouldiae,14,15,21,22,B
Erythrura prasina,Erythrura prasina,12,14,21,21,
Erythrura viridifacies,Erythrura viridifacies,14,14,,,
Erythrura hyperythra,Erythrura hyperythra,13,14,21,27,
Erythrura psittacea,Erythrura psittacea,13,13,18,22,
Erythrura pealii,Erythrura pealii,13,14,18,21,
,,13,14,18,21,
Erythrura cyaneovirens,Erythrura cyaneovirens,13,14,18,21,
Erythrura kleinschmidti,Erythrura kleinschmidti,,,,,
Erythrura tricolor,Erythrura tricolor,13,15,17,17,
Erythrura coloria,Erythrura coloria,14,14,21,23,
Erythrura papuana,Erythrura papuana,,,,,
Erythrura trichroa,Erythrura trichroa,12,14,21,21,
Nesocharis shelleyi,Nesocharis shelleyi,,,,,
Nesocharis ansorgei,Nesocharis ansorgei,,,,,B
Coccopygia quartinia,Coccopygia quartinia,13,14,21,22,
Coccopygia bocagei,Coccopygia bocagei,,,,,
Coccopygia melanotis,Coccopygia melanotis,12,13,19,22,
Mandingoa nitidula,Mandingoa nitidula,12,14,21,23,
Cryptospiza shelleyi,Cryptospiza shelleyi,,,,,
Cryptospiza jacksoni,Cryptospiza jacksoni,,,,,
Cryptospiza salvadorii,Cryptospiza salvadorii,14,16,20,21,
Cryptospiza reichenovii,Cryptospiza reichenovii,13,14,21,21,B
Parmoptila rubrifrons,Parmoptila rubrifrons,,,,,
Parmoptila woodhousei,Parmoptila woodhousei,12,,,,
Parmoptila jamesoni,Parmoptila jamesoni,,,,,
Nigrita fusconotus,Nigrita fusconotus,,,,,
Nigrita bicolor,Nigrita bicolor,12,13,17,21,
Nigrita canicapillus,Nigrita canicapillus,12,13,,,
Nigrita luteifrons,Nigrita luteifrons,,,,,
Delacourella capistrata,Delacourella capistrata,15,16,21,22,
Brunhilda charmosyna,Brunhilda charmosyna,,,,,
Brunhilda erythronotos,Brunhilda erythronotos,12,12,19,23,
Glaucestrilda coerulescens,Glaucestrilda caerulescens,11,12,19,,
Glaucestrilda perreini,Glaucestrilda perreini,12,12,18,21,
Glaucestrilda thomensis,Glaucestrilda thomensis,12,14,17,21,
Estrilda nonnula,Estrilda nonnula,12,14,17,21,
Estrilda atricapilla,Estrilda atricapilla,12,12,18,20,
Estrilda kandti,Estrilda kandti,,,,,
Estrilda melpoda,Estrilda melpoda,11,11,19,21,B
Estrilda poliopareia,Estrilda poliopareia,,,,,
Estrilda paludicola,Estrilda paludicola,12,13,19,21,
Estrilda astrild,Estrilda astrild,11,12,17,21,B
Estrilda nigriloris,Estrilda nigriloris,,,,,
Estrilda troglodytes,Estrilda troglodytes,11,12,17,20,
Estrilda rhodopyga,Estrilda rhodopyga,12,14,17,19,
Estrilda rufibarba,Estrilda rufibarba,,,,,
Ortygospiza atricollis,Ortygospiza atricollis,14,14,19,21,
Paludipasser locustella,Paludipasser locustella,,,,,B
Amadina fasciata,Amadina fasciata,12,13,21,27,
Amadina erythrocephala,Amadina erythrocephala,14,14,20,20,B
Amandava formosa,Amandava formosa,11,12,18,21,B
Amandava subflava,Amandava subflava,13,14,19,21,
Amandava amandava,Amandava amandava,11,14,17,21,B
Granatina ianthinogaster,Granatina ianthinogaster,13,14,18,19,
Granatina granatina,Granatina granatina,14,14,16,18,
Uraeginthus angolensis,Uraeginthus angolensis,13,14,17,19,
Uraeginthus bengalus,Uraeginthus bengalus,13,14,16,19,
Uraeginthus cyanocephalus,Uraeginthus cyanocephalus,13,14,17,19,
Spermophaga poliogenys,Spermophaga poliogenys,,,,,
Spermophaga haematina,Spermophaga haematina,14,16,21,22,
Spermophaga ruficapilla,Spermophaga ruficapilla,17,18,20,20,
Pyrenestes minor,Pyrenestes minor,13,15,20,23,B
Pyrenestes sanguineus,Pyrenestes sanguineus,16,16,24,24,B
Pyrenestes ostrinus,Pyrenestes ostrinus,16,16,24,24,
Pytilia melba,Pytilia melba,12,13,21,21,
Pytilia afra,Pytilia afra,12,14,21,21,
Pytilia phoenicoptera,Pytilia phoenicoptera,14,14,19,21,
Pytilia lineata,Pytilia lineata,,,,,
Pytilia hypogrammica,Pytilia hypogrammica,12,14,20,22,
Euschistospiza dybowskii,Euschistospiza dybowskii,13,14,18,20,
Euschistospiza cinereovinacea,Euschistospiza cinereovinacea,13,13,21,21,B
Hypargos niveoguttatus,Hypargos niveoguttatus,13,14,21,21,
Hypargos margaritatus,Hypargos margaritatus,12,14,20,21,
Clytospiza monteiri,Clytospiza monteiri,13,13,19,21,
Lagonosticta senegala,Lagonosticta senegala,11,12,18,19,
Lagonosticta rubricata,Lagonosticta rubricata,12,14,,,B
Lagonosticta rhodopareia,Lagonosticta rhodopareia,12,13,16,19,
Lagonosticta virata,Lagonosticta virata,11,13,19,19,
Lagonosticta sanguinodorsalis,Lagonosticta sanguinodorsalis,,,,,B
Lagonosticta umbrinodorsalis,Lagonosticta umbrinodorsalis,,,,,
Lagonosticta rara,Lagonosticta rara,13,14,18,20,
Lagonosticta rufopicta,Lagonosticta rufopicta,13,14,17,19,
Lagonosticta nitidula,Lagonosticta nitidula,13,14,18,19,
Lagonosticta larvata,Lagonosticta larvata,11,12,17,19,
Lagonosticta vinacea,,,,,,
Lagonosticta nigricollis,,11,12,17,19,
Vidua chalybeata,Vidua chalybeata,11,12,17,18,
Vidua purpurascens,Vidua purpurascens,,,,,
Vidua raricola,Vidua raricola,,,,,
Vidua larvaticola,Vidua larvaticola,,,,,
Vidua funerea,Vidua funerea,,,,,
Vidua codringtoni,Vidua codringtoni,,,,,
Vidua wilsoni,Vidua wilsoni,,,17,19,
Vidua nigeriae,Vidua nigeriae,,,,,
Vidua maryae,Vidua maryae,,,,,
Vidua camerunensis,Vidua camerunensis,11,12,17,18,
Vidua macroura,Vidua macroura,11,11,20,20,
Vidua hypocherina,Vidua hypocherina,,,20,,
Vidua fischeri,Vidua fischeri,,,18,,
Vidua regia,Vidua regia,12,13,20,,
Vidua paradisaea,Vidua paradisaea,11,11,21,,
Vidua orientalis,Vidua orientalis,11,13,16,16,
Vidua interjecta,Vidua interjecta,11,12,14,14,
Vidua togoensis,Vidua togoensis,,,,,
Vidua obtusa,Vidua obtusa,,,,,
Anomalospiza imberbis,Anomalospiza imberbis,14,18,18,,
Peucedramus taeniatus,Peucedramus taeniatus,,,,,F
Prunella collaris,Prunella collaris,11,15,12,16,F
Prunella himalayana,Prunella himalayana,,13,,,F
Prunella rubeculoides,Prunella rubeculoides,,,,,
Prunella strophiata,Prunella strophiata,,,,,B
Prunella montanella,Prunella montanella,10,10,14,14,F
Prunella fulvescens,Prunella fulvescens,10,12,10,15,F
Prunella ocularis,Prunella ocularis,11,12,12,12,F
Prunella atrogularis,Prunella atrogularis,11,14,11,14,F
Prunella koslowi,Prunella koslowi,,,,,
Prunella modularis,Prunella modularis,12,13,11,13,F
Prunella rubida,Prunella rubida,12,13,11,13,
Prunella immaculata,Prunella immaculata,,,,,
Dendronanthus indicus,Dendronanthus indicus,,,,,F
Motacilla flava,Motacilla flava,11,14,10,14,B
Motacilla tschutschensis,Motacilla tschutschensis,9,13,9,16,B
Motacilla citreola,Motacilla citreola,11,15,10,15,B
Motacilla capensis,Motacilla capensis,12,14,15,16,B
Motacilla flaviventris,Motacilla flaviventris,,,15,16,B
Amaurocichla bocagii,Motacilla bocagii,,,,,
Motacilla cinerea,Motacilla cinerea,11,13,11,13,B
Motacilla clara,Motacilla clara,13,14,14,16,B
Motacilla alba,Motacilla alba,11,16,11,16,B
Motacilla aguimp,Motacilla aguimp,13,14,15,16,B
Motacilla samveasnae,Motacilla samveasnae,,,,,
Motacilla grandis,Motacilla grandis,11,13,13,15,B
Motacilla maderaspatensis,Motacilla maderaspatensis,,,,,
Tmetothylacus tenellus,Tmetothylacus tenellus,,,,,
Macronyx sharpei,Macronyx sharpei,,,,,
Macronyx flavicollis,Macronyx flavicollis,,,,,
Macronyx fuelleborni,Macronyx fuelleborni,,,,,
Macronyx capensis,Macronyx capensis,,,,,
Macronyx croceus,Macronyx croceus,13,14,16,17,F
Macronyx aurantiigula,Macronyx aurantiigula,13,,,,F
Macronyx ameliae,Macronyx ameliae,13,14,,16,F
Macronyx grimwoodi,Macronyx grimwoodi,,,,,
Anthus richardi,Anthus richardi,,,,,B
Anthus rufulus,Anthus rufulus,,,,,B
,Anthus australis,13,13,14,14,F
Anthus novaeseelandiae,Anthus novaeseelandiae,13,,14,,F
Anthus cinnamomeus,Anthus cinnamomeus,12,13,12,17,B
Anthus hoeschi,Anthus hoeschi,,,,,
Anthus godlewskii,Anthus godlewskii,12,14,,,F
Anthus campestris,Anthus campestris,11.5,14,13,14,F
Anthus similis,Anthus similis,13,14,13,14,F
,Anthus nicholsoni,13,14,13,14,F
Anthus nyassae,Anthus nyassae,,,,,
Anthus vaalensis,Anthus vaalensis,,,,,
Anthus leucophrys,Anthus leucophrys,,,,,
Anthus pallidiventris,Anthus pallidiventris,,,,,
Anthus pratensis,Anthus pratensis,13,13,12.5,15,"F,B"
Anthus trivialis,Anthus trivialis,12,14,12,14,F
Anthus hodgsoni,Anthus hodgsoni,12,13,11,12,F
Anthus gustavi,Anthus gustavi,12,13,12,14,
Anthus roseatus,Anthus roseatus,,,,,
Anthus cervinus,Anthus cervinus,11,14,11,15,F
,Anthus japonicus,14.5,,13,16,F
Anthus rubescens,Anthus rubescens,13,15,12,15,F
Anthus spinoletta,Anthus spinoletta,14,15,14,15,F
Anthus petrosus,Anthus petrosus,14,15,16,16,F
Anthus nilghiriensis,Anthus nilghiriensis,,,,,
Anthus sylvanus,Anthus sylvanus,,,,,
Anthus berthelotii,Anthus berthelotii,,,,,
Anthus lineiventris,Anthus lineiventris,13,13,14,14,F
Anthus crenatus,Anthus crenatus,12,13,11,,
Anthus brachyurus,Anthus brachyurus,,,,,
Anthus caffer,Anthus caffer,,,,,
Anthus sokokensis,Anthus sokokensis,,,,,
Anthus melindae,Anthus melindae,,,,,
Hemimacronyx chloris,Hemimacronyx chloris,,,,,
Anthus gutturalis,Anthus gutturalis,,,,,
Madanga ruficollis,Anthus ruficollis,,,,,
Anthus spragueii,Anthus spragueii,12,15,9,17,F
Anthus chii,Anthus chii,13,14,13,17,
Anthus peruvianus,Anthus peruvianus,,,,,
Anthus furcatus,Anthus furcatus,,,,,
Anthus brevirostris,Anthus brevirostris,,,,,
Anthus chacoensis,Anthus chacoensis,,,,,
Anthus correndera,Anthus correndera,,,,,
Anthus antarcticus,Anthus antarcticus,,,,,
Anthus nattereri,Anthus nattereri,,,,,F
Anthus hellmayri,Anthus hellmayri,13,14,9,14,F
Anthus bogotensis,Anthus bogotensis,,,,,
Urocynchramus pylzowi,Urocynchramus pylzowi,,,,,F
Fringilla coelebs,Fringilla coelebs,10,16,11,18,F
,Fringilla spodiogenys,,,,,
,Fringilla moreletti,,,,,F
,Fringilla maderensis,,,,,
,Fringilla canariensis,,,,,
Fringilla teydea,Fringilla teydea,13,17,17,18,F
Fringilla polatzeki,Fringilla polatzeki,14,16,16,18,F
Fringilla montifringilla,Fringilla montifringilla,11,12,13,14,F
Mycerobas icterioides,Mycerobas icterioides,14,15,,,F
Mycerobas affinis,Mycerobas affinis,,,,,
Mycerobas melanozanthos,Mycerobas melanozanthos,,,,,F
Mycerobas carnipes,Mycerobas carnipes,15,16,17,18,B
Hesperiphona vespertina,Coccothraustes vespertinus,12,14,13,14,F
Hesperiphona abeillei,Coccothraustes abeillei,,,,,
Coccothraustes coccothraustes,Coccothraustes coccothraustes,11,13,12,13,F
Eophona migratoria,Eophona migratoria,,,,,F
Eophona personata,Eophona personata,,,,,
Pinicola enucleator,Pinicola enucleator,13,14,14,18,F
Pyrrhula nipalensis,Pyrrhula nipalensis,,,,,
Pyrrhula waterstradti,,,,,,
Pyrrhula aurantiaca,Pyrrhula aurantiaca,,14,12,16,F
Pyrrhula erythrocephala,Pyrrhula erythrocephala,,,,,
Pyrrhula erythaca,Pyrrhula erythaca,,,,,F
,Pyrrhula owstoni,,,,,F
Pyrrhula leucogenis,Pyrrhula leucogenis,,,,,
Pyrrhula pyrrhula,Pyrrhula pyrrhula,12,14,15,20,F
Pyrrhula murina,Pyrrhula murina,13,13,15,15,F
Rhodopechys sanguineus,Rhodopechys sanguineus,13,15,10,17,F
Rhodopechys alienus,,13,15,10,17,F
Bucanetes githagineus,Bucanetes githagineus,11,14,12,14,F
Bucanetes mongolicus,Bucanetes mongolicus,13,13,18,18,B
Agraphospiza rubescens,Agraphospiza rubescens,13,13,14,14,
Callacanthis burtoni,Callacanthis burtoni,,,,,
Pyrrhoplectes epauletta,Pyrrhoplectes epauletta,,,,,
Procarduelis nipalensis,Procarduelis nipalensis,,,,,
Leucosticte nemoricola,Leucosticte nemoricola,13,15,15,19,F
Leucosticte brandti,Leucosticte brandti,13,,15,17,F
Leucosticte arctoa,Leucosticte arctoa,12,,,,F
Leucosticte tephrocotis,Leucosticte tephrocotis,12,16,15,22,F
Leucosticte atrata,Leucosticte atrata,11,14,20,,F
Leucosticte australis,Leucosticte australis,12,14,14,20,F
Carpodacus erythrinus,Carpodacus erythrinus,11,14,10,13,F
Carpodacus sipahi,Carpodacus sipahi,,,,,
Carpodacus ferreorostris,Carpodacus ferreorostris,,,,,
Carpodacus rubicilloides,Carpodacus rubicilloides,,,,,F
Carpodacus rubicilla,Carpodacus rubicilla,16,16,17,17,F
,Carpodacus grandis,,,,,
Carpodacus rhodochlamys,Carpodacus rhodochlamys,,,,,B
Carpodacus pulcherrimus,Carpodacus pulcherrimus,,,,,F
,Carpodacus davidianus,,,,,
Carpodacus waltoni,Carpodacus waltoni,,,,,
Carpodacus rodochroa,Carpodacus rodochroa,,,,,F
Carpodacus edwardsii,Carpodacus edwardsii,,,,,
Carpodacus rodopeplus,Carpodacus rodopeplus,,,,,
Carpodacus verreauxii,Carpodacus verreauxii,,,,,
Carpodacus vinaceus,Carpodacus vinaceus,,,,,F
Carpodacus formosanus,Carpodacus formosanus,,,,,
Carpodacus synoicus,Carpodacus synoicus,13,14,14,16,B
Carpodacus stoliczkae,Carpodacus stoliczkae,13,14,14,16,B
Carpodacus roborowskii,Carpodacus roborowskii,,,,,F
Carpodacus sillemi,Carpodacus sillemi,,,,,
Carpodacus sibiricus,Carpodacus sibiricus,11,12,13,14,B
Carpodacus lepidus,,11,12,13,14,B
Carpodacus roseus,Carpodacus roseus,14,15,15,,F
Carpodacus trifasciatus,Carpodacus trifasciatus,,,,,
Carpodacus thura,Carpodacus thura,,,,,
Carpodacus dubius,Carpodacus dubius,,,,,
Carpodacus puniceus,Carpodacus puniceus,,,,,
Carpodacus subhimachalus,Carpodacus subhimachalus,,,,,
Melamprosops phaeosoma,Melamprosops phaeosoma,16,,21,,F
Paroreomyza maculata,Paroreomyza maculata,,,,,
Paroreomyza flammea,Paroreomyza flammea,,,,,
Paroreomyza montana,Paroreomyza montana,16,18,17,19,F
Oreomystis bairdi,Oreomystis bairdi,13,20,16,23,F
Telespiza cantans,Telespiza cantans,16,,22,26,F
Telespiza ultima,Telespiza ultima,15,,24,,
Loxioides bailleui,Loxioides bailleui,16,17,21,29,F
Rhodacanthis flaviceps,Rhodacanthis flaviceps,,,,,
Rhodacanthis palmeri,Rhodacanthis palmeri,,,,,
Chloridops kona,Chloridops kona,,,,,
Psittirostra psittacea,Psittirostra psittacea,,,,,
Dysmorodrepanis munroi,Dysmorodrepanis munroi,,,,,
Drepanis coccinea,Drepanis coccinea,14,14,21,22,F
Drepanis pacifica,Drepanis pacifica,,,,,
Drepanis funerea,Drepanis funerea,,,,,
Ciridops anna,Ciridops anna,,,,,
Palmeria dolei,Palmeria dolei,16,19,17,27,F
Himatione sanguinea,Himatione sanguinea,13,14,15,17,F
Himatione fraithii,Himatione fraithii,,,,,
Viridonia sagittirostris,Viridonia sagittirostris,,,,,
Akialoa obscura,Akialoa obscura,,,,,
Akialoa ellisiana,Akialoa ellisiana,,,,,
Akialoa stejnegeri,Akialoa stejnegeri,,,,,
Akialoa lanaiensis,Akialoa lanaiensis,,,,,
Hemignathus lucidus,Hemignathus lucidus,,,,,
Hemignathus hanapepe,Hemignathus hanapepe,,,,,
Hemignathus affinis,Hemignathus affinis,,,,,
Hemignathus wilsoni,Hemignathus wilsoni,21,,,,F
Pseudonestor xanthophrys,Pseudonestor xanthophrys,16,,18,22,F
Magumma parva,Magumma parva,14,15,17,19,F
Manucerthia mana,Loxops mana,13,14,18,21,F
Loxops caeruleirostris,Loxops caeruleirostris,15,19,16,22,F
Loxops coccineus,Loxops coccineus,14,16,16,20,F
Loxops wolstenholmei,Loxops wolstenholmei,,,,,
Loxops ochraceus,Loxops ochraceus,,,,,
Chlorodrepanis virens,Chlorodrepanis virens,12,16,15,21,F
Chlorodrepanis flava,Chlorodrepanis flava,,,,,F
Chlorodrepanis stejnegeri,Chlorodrepanis stejnegeri,14,,17,20,F
Haemorhous purpureus,Haemorhous purpureus,12,13,13,16,F
Haemorhous cassinii,Haemorhous cassinii,12,,,,F
Haemorhous mexicanus,Haemorhous mexicanus,12,17,,,F
Chloris chloris,Chloris chloris,11,15,14,18,F
Chloris sinica,Chloris sinica,12,15,,,F
,,12,15,,,F
