BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Crax alberti,Crax alberti,,,,,B
Crax daubentoni,Crax daubentoni,28,,,,F
Crax alector,Crax alector,30,,,,F
Crax globulosa,Crax globulosa,,,,,
Crax fasciolata,Crax fasciolata,30,,,,F
Crax pinima,,,,,,
Crax blumenbachii,Crax blumenbachii,28,30,,,F
Agelastes meleagrides,Agelastes meleagrides,,,,,
Agelastes niger,Agelastes niger,,,,,
Numida meleagris,Numida meleagris,24,30,28,,F
Guttera plumifera,Guttera plumifera,23,,,,
Guttera verreauxi,Guttera verreauxi,23,,30,,F
Guttera pucherani,Guttera pucherani,23,,30,,F
Guttera edouardi,Guttera edouardi,23,,30,,F
Acryllium vulturinum,Acryllium vulturinum,23,32,14,,F
Ptilopachus petrosus,Ptilopachus petrosus,,,,,
Ptilopachus nahani,Ptilopachus nahani,,,,,
Dendrortyx leucophrys,Dendrortyx leucophrys,,,,,
Dendrortyx macroura,Dendrortyx macroura,,,,,
Dendrortyx barbatus,Dendrortyx barbatus,28,32,,,F
Oreortyx pictus,Oreortyx pictus,21,25,,,F
Callipepla squamata,Callipepla squamata,22,23,,,F
Callipepla douglasii,Callipepla douglasii,22,23,,,
Callipepla californica,Callipepla californica,22,23,10,10,F
Callipepla gambelii,Callipepla gambelii,23,,,,F
Philortyx fasciatus,Philortyx fasciatus,21,23,,,
Colinus virginianus,Colinus virginianus,23,23,14,14,F
Colinus nigrogularis,Colinus nigrogularis,,,,,
Colinus leucopogon,Colinus leucopogon,21,26,1,,F
Colinus cristatus,Colinus cristatus,22,23,1,,F
Odontophorus gujanensis,Odontophorus gujanensis,24,28,,,F
Odontophorus capueira,Odontophorus capueira,18,27,,,F
Odontophorus melanotis,Odontophorus melanotis,26,27,,,F
Odontophorus erythrops,Odontophorus erythrops,,,,,
Odontophorus atrifrons,Odontophorus atrifrons,,,,,
Odontophorus hyperythrus,Odontophorus hyperythrus,27,29,,,F
Odontophorus melanonotus,Odontophorus melanonotus,,,,,
Odontophorus speciosus,Odontophorus speciosus,,,,,
Odontophorus dialeucos,Odontophorus dialeucos,,,,,
Odontophorus strophium,Odontophorus strophium,,,,,
Odontophorus columbianus,Odontophorus columbianus,30,,,,
Odontophorus leucolaemus,Odontophorus leucolaemus,16,17,,,
Odontophorus balliviani,Odontophorus balliviani,,,,,
Odontophorus stellatus,Odontophorus stellatus,,,,,
Odontophorus guttatus,Odontophorus guttatus,,,,,
Dactylortyx thoracicus,Dactylortyx thoracicus,,,,,
Cyrtonyx montezumae,Cyrtonyx montezumae,24,26,,,B
Cyrtonyx sallei,,,,,,
Cyrtonyx ocellatus,Cyrtonyx ocellatus,,,,,
Rhynchortyx cinctus,Rhynchortyx cinctus,,,,,
Xenoperdix udzungwensis,Xenoperdix udzungwensis,,,,,
Caloperdix oculeus,Caloperdix oculeus,18,20,,,
Rollulus rouloul,Rollulus rouloul,18,19,,,F
Melanoperdix niger,Melanoperdix niger,18,19,,,
Arborophila torqueola,Arborophila torqueola,24,,,,
Arborophila rufipectus,Arborophila rufipectus,,,,,F
Arborophila mandellii,Arborophila mandellii,,,,,
Arborophila gingica,Arborophila gingica,,,,,
Arborophila rufogularis,Arborophila rufogularis,20,21,,,
Arborophila rubrirostris,Arborophila rubrirostris,,,,,
Arborophila cambodiana,Arborophila cambodiana,,,,,
Arborophila ardens,Arborophila ardens,,,,,
Arborophila crudigularis,Arborophila crudigularis,20,24,,,
Arborophila atrogularis,Arborophila atrogularis,,,,,
Arborophila brunneopectus,Arborophila brunneopectus,,,,,
Arborophila davidi,Arborophila davidi,,,,,
Arborophila hyperythra,Arborophila hyperythra,,,,,
Arborophila campbelli,Arborophila campbelli,,,,,
Arborophila rolli,Arborophila rolli,,,,,
Arborophila sumatrana,Arborophila sumatrana,,,,,
Arborophila javanica,Arborophila javanica,,,,,
Arborophila orientalis,Arborophila orientalis,,,,,
Lerwa lerwa,Lerwa lerwa,,,,,F
Ithaginis cruentus,Ithaginis cruentus,26,29,,,
Tragopan melanocephalus,Tragopan melanocephalus,,,,,
Tragopan satyra,Tragopan satyra,28,,,,
Tragopan blythii,Tragopan blythii,28,30,,,
Tragopan temminckii,Tragopan temminckii,26,28,,,F
Tragopan caboti,Tragopan caboti,28,,,,F
Tetraophasis obscurus,Tetraophasis obscurus,27,28,,,F
Tetraophasis szechenyii,Tetraophasis szechenyii,24,29,,,F
Lophophorus impejanus,Lophophorus impejanus,27,,,,
Lophophorus sclateri,Lophophorus sclateri,28,28,,,
Lophophorus lhuysii,Lophophorus lhuysii,28,,,,F
Pucrasia macrolopha,Pucrasia macrolopha,21,27,,,F
Meleagris gallopavo,Meleagris gallopavo,27,28,14,14,F
Meleagris ocellata,Meleagris ocellata,28,,,,F
Bonasa umbellus,Bonasa umbellus,23,24,10,12,
Tetrastes bonasia,Tetrastes bonasia,23,27,15,35,F
Tetrastes sewerzowi,Tetrastes sewerzowi,25,,,,F
Centrocercus urophasianus,Centrocercus urophasianus,25,27,7,14,F
Centrocercus minimus,Centrocercus minimus,26,,,,
Dendragapus obscurus,Dendragapus obscurus,25,27,,,
Dendragapus fuliginosus,Dendragapus fuliginosus,25,28,,,F
Tympanuchus phasianellus,Tympanuchus phasianellus,21,24,10,,F
Tympanuchus cupido,Tympanuchus cupido,23,25,,,F
Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,24,,,,F
Lagopus leucura,Lagopus leucura,22,23,,,
,,,,0,0,F
Lagopus lagopus,Lagopus lagopus,21,23,0,0,F
Lagopus muta,Lagopus muta,21,24,33,33,F
Falcipennis falcipennis,Falcipennis falcipennis,23,24,,,F
Canachites canadensis,Canachites canadensis,21,24,,,F
Canachites franklinii,,21,24,,,F
Tetrao urogallus,Tetrao urogallus,24,29,14,21,F
