Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Melaenornis fischeri,0.67,1.25,7.66
Melaenornis ardesiacus,0.7,1.35,8.17
Melaenornis annamarulae,0.7,1.26,8.48
Melaenornis edolioides,0.68,1.32,8.23
Melaenornis pammelaina,0.66,1.26,8.17
Niltava sundara,0.6,1.09,5.2
Niltava macgrigoriae,0.56,0.97,4.58
Niltava sumatrana,0.68,1.12,5.27
Niltava oatesi,0.59,1.14,4
Niltava vivida,0.59,1.14,4
Niltava davidi,0.65,1.12,5.61
Niltava grandis,0.63,1.15,5.89
Cyanoptila cumatilis,0.59,1.14,9.97
Cyanoptila cyanomelana,0.59,1.14,9.97
Eumyias albicaudatus,0.62,1.12,7.75
Eumyias ruficrissa,0.59,1.14,9.97
Eumyias indigo,0.59,1.14,9.97
Eumyias sordidus,0.68,1.15,8.3
Eumyias thalassinus,0.58,1.1,7.88
Eumyias panayensis,0.67,1.1,7.88
Eumyias additus,0.67,1.24,8.21
Anthipes monileger,0.52,0.96,7.08
Anthipes solitaris,0.65,1.18,7.92
Cyornis oscillans,0.59,1.14,5.24
Cyornis stresemanni,0.59,1.14,5.24
Cyornis nicobaricus,0.59,1.14,5.24
Cyornis brunneatus,0.59,1.14,5.24
Cyornis olivaceus,0.64,1.16,5.82
Cyornis umbratilis,0.65,1.19,5.99
Cyornis ruficauda,0.65,1.18,6.1
Cyornis colonus,0.67,1.25,6.29
Cyornis unicolor,0.6,1.09,6.03
Cyornis ruckii,0.7,1.24,6.62
Cyornis herioti,0.65,1.1,6.07
Cyornis camarinensis,0.59,1.14,5.24
Cyornis pallidipes,0.59,1.07,5.85
Cyornis poliogenys,0.63,1.22,6.94
Cyornis magnirostris,0.58,1.04,5.9
Cyornis banyumas,0.55,0.97,5.51
Cyornis lemprieri,0.66,1.12,6.07
Cyornis tickelliae,0.6,1.08,5.98
Cyornis sumatrensis,0.59,1.14,5.24
Cyornis caerulatus,0.68,1.13,5.97
Cyornis superbus,0.69,1.17,6.2
Cyornis glaucicomans,0.59,1.14,5.24
Cyornis hainanus,0.66,1.17,6.47
Cyornis rubeculoides,0.59,1.14,5.24
Cyornis turcosus,0.67,1.12,5.92
Cyornis rufigastra,0.67,1.24,6.23
Cyornis omissus,0.66,1.08,5.76
Cyornis djampeanus,0.59,1.14,5.24
Cyornis hyacinthinus,0.69,1.21,6.53
Cyornis hoevelli,0.69,1.17,6.23
Cyornis sanfordi,0.68,1.15,6.11
Cyornis concretus,0.73,1.48,7.61
Xenocopsychus ansorgei,0.71,1.41,9.51
Dessonornis caffer,0.68,1.3,9.19
Dessonornis mbuluensis,0.72,1.14,10.1
Dessonornis macclounii,0.72,1.14,10.1
Dessonornis anomalus,0.72,1.14,10.1
Dessonornis archeri,0.69,1.29,8.41
Dessonornis humeralis,0.65,1.2,8.64
Erithacus rubecula,0.5,0.99,12.41
Pogonocichla stellata,0.71,1.19,8.79
Oreocossypha isabellae,0.69,1.31,8.62
Cossyphicula roberti,0.7,1.22,8.65
Swynnertonia swynnertoni,0.66,1.21,8.14
Chamaetylas poliophrys,0.78,1.41,8.25
Chamaetylas poliocephala,0.78,1.38,8.14
Chamaetylas fuelleborni,0.8,1.52,9.14
Chamaetylas choloensis,0.79,1.27,8.51
Cossypha cyanocampter,0.76,1.33,8
Cossypha semirufa,0.74,1.29,7.92
Cossypha heuglini,0.77,1.4,8.57
Cossypha natalensis,0.74,1.29,8.14
Cossypha dichroa,0.75,1.37,9.26
Cossypha heinrichi,0.8,1.37,8.92
Cossypha niveicapilla,0.76,1.37,8.4
Cossypha albicapillus,0.8,1.56,9.53
Stiphrornis erythrothorax,0.66,1.2,7.92
Stiphrornis xanthogaster,0.59,1.14,9.97
Stiphrornis pyrrholaemus,0.59,1.14,9.97
Cichladusa arquata,0.69,1.35,9.16
Cichladusa ruficauda,0.68,1.3,8.74
Cichladusa guttata,0.67,1.25,8.19
Sheppardia montana,0.67,1.12,8.03
Sheppardia lowei,0.65,1.09,7.85
Sheppardia aurantiithorax,0.65,1.07,7.71
Sheppardia gabela,0.62,0.98,7.17
Sheppardia aequatorialis,0.67,1.22,7.88
Sheppardia cyornithopsis,0.67,1.24,8.07
Sheppardia gunningi,0.65,1.07,7.79
Sheppardia sharpei,0.66,1.19,7.9
Sheppardia polioptera,0.66,1.09,7.74
Sheppardia poensis,0.59,1.14,9.97
Sheppardia bocagei,0.59,1.14,9.97
Heinrichia simplex,0.59,1.14,9.97
Heinrichia calligyna,0.59,1.14,9.97
Vauriella gularis,0.67,1.27,8.37
Vauriella albigularis,0.69,1.36,9.22
Vauriella insignis,0.68,1.3,9.05
Vauriella goodfellowi,0.69,1.33,8.9
Heteroxenicus stellatus,0.61,1.1,9.26
Brachypteryx hyperythra,0.71,1.43,10.8
Brachypteryx leucophris,0.62,1.11,8
Brachypteryx cruralis,0.59,1.14,9.97
Brachypteryx sinensis,0.59,1.14,9.97
Brachypteryx goodfellowi,0.59,1.14,9.97
Brachypteryx poliogyna,0.59,1.14,9.97
Brachypteryx erythrogyna,0.59,1.14,9.97
Brachypteryx saturata,0.59,1.14,9.97
Brachypteryx montana,0.59,1.14,9.97
Brachypteryx floris,0.59,1.14,9.97
Larvivora ruficeps,0.56,1.06,8.14
Larvivora brunnea,0.58,1.09,8.22
Larvivora cyane,0.54,1.04,8.46
Larvivora sibilans,0.55,1.07,8.72
Larvivora akahige,0.59,1.14,9.97
Larvivora tanensis,0.59,1.14,9.97
Larvivora komadori,0.59,1.14,9.97
Larvivora namiyei,0.59,1.14,9.97
Irania gutturalis,0.55,1.02,8.32
Hodgsonius phaenicuroides,0.61,1.18,8.77
Cyanecula svecica,0.55,1.01,9.94
Luscinia luscinia,0.51,1.03,9.76
Luscinia megarhynchos,0.5,0.99,8.95
Calliope pectardens,0.55,1.02,8.44
Calliope obscura,0.56,1.09,8.27
Calliope calliope,0.51,0.99,8.49
Calliope pectoralis,0.59,1,9.97
Calliope tschebaiewi,0.59,1,9.97
Myiomela leucura,0.59,1.14,9.97
Myiomela cambodiana,0.59,1.14,9.97
Myiomela diana,0.69,1.16,8.22
Myiomela major,0.67,1.25,9.1
Myiomela albiventris,0.7,1.25,9.06
Tarsiger hyperythrus,0.57,0.98,7.61
Tarsiger cyanurus,0.45,0.95,7.57
Tarsiger rufilatus,0.59,1,9.97
Tarsiger indicus,0.6,1.18,7.86
Tarsiger johnstoniae,0.6,0.96,7.34
Tarsiger chrysaeus,0.56,1.16,7.78
Enicurus scouleri,0.63,1.14,8.41
Enicurus schistaceus,0.67,1.27,9.16
Enicurus velatus,0.66,1.17,8.6
Enicurus ruficapillus,0.7,1.35,8.73
Enicurus immaculatus,0.65,1.22,8.85
Enicurus leschenaulti,0.67,1.29,9.18
Enicurus maculatus,0.66,1.29,9.48
Cinclidium frontale,0.66,1.16,8.64
Myophonus blighi,0.75,1.83,13.65
Myophonus melanurus,0.7,1.3,10.57
Myophonus glaucinus,0.77,1.66,12.23
Myophonus castaneus,0.71,1.38,11.17
Myophonus borneensis,0.71,1.38,11.23
Myophonus robinsoni,0.78,1.79,11.56
Myophonus horsfieldii,0.76,1.72,11.98
Myophonus insularis,0.74,1.61,11.63
Myophonus caeruleus,0.72,1.68,12.39
Ficedula zanthopygia,0.51,1.09,9.49
Ficedula elisae,0.47,1.13,10.91
Ficedula narcissina,0.47,1.13,10.91
Ficedula owstoni,0.47,1.13,10.91
Ficedula mugimaki,0.45,1.04,9.15
Ficedula erithacus,0.51,1.11,9.64
Ficedula tricolor,0.54,1.18,8.9
Ficedula hyperythra,0.59,1.22,8.81
Ficedula hodgsoni,0.58,1.07,8.69
Ficedula strophiata,0.57,1.29,9.7
Ficedula sapphira,0.51,1.12,8.53
Ficedula superciliaris,0.51,1.13,8.68
Ficedula westermanni,0.63,1.31,9.03
Ficedula ruficauda,0.57,1.3,10.03
Ficedula parva,0.46,1.06,9.32
Ficedula albicilla,0.48,1.06,9.66
Ficedula subrubra,0.51,1.14,9.03
Ficedula semitorquata,0.48,1.13,9.36
Ficedula hypoleuca,0.46,1.07,9.63
Ficedula albicollis,0.45,1.06,9.23
Ficedula henrici,0.62,1.17,9.28
Ficedula rufigula,0.63,1.36,9.09
Ficedula buruensis,0.65,1.46,9.78
Ficedula harterti,0.64,1.39,9.58
Ficedula timorensis,0.62,1.3,8.9
Ficedula basilanica,0.66,1.46,9.86
Ficedula luzoniensis,0.47,1.13,10.91
Ficedula crypta,0.59,1.08,8.56
Ficedula bonthaina,0.63,1.36,9.22
Ficedula nigrorufa,0.58,1.04,8.3
Ficedula dumetoria,0.64,1.36,8.96
Ficedula riedeli,0.47,1.13,10.91
Ficedula disposita,0.58,1.08,8.73
Ficedula platenae,0.59,1.09,8.69
Phoenicurus alaschanicus,0.55,0.96,9.04
Phoenicurus erythronotus,0.54,0.98,9.45
Phoenicurus frontalis,0.59,1.06,9.27
Phoenicurus coeruleocephala,0.54,0.94,8.9
Phoenicurus schisticeps,0.65,1.13,9.75
Phoenicurus leucocephalus,0.61,1.16,10.22
Phoenicurus fuliginosus,0.61,1.07,9.42
Phoenicurus bicolor,0.66,1.19,9.67
Phoenicurus ochruros,0.59,1.05,9.9
Phoenicurus phoenicurus,0.47,0.86,8.69
Phoenicurus moussieri,0.57,0.97,8.73
Phoenicurus auroreus,0.59,1.07,9.82
Phoenicurus erythrogastrus,0.59,1.11,10.24
Phoenicurus hodgsoni,0.56,0.94,9.62
Monticola cinclorhyncha,0.63,1.02,9.51
Monticola rufiventris,0.65,1.1,10.08
Monticola gularis,0.6,0.97,9.77
Monticola brevipes,0.69,1.08,9.57
Monticola explorator,0.71,1.15,10.36
Monticola imerina,0.71,1.07,10.43
Monticola erythronotus,0.67,0.91,9.26
Monticola sharpei,0.65,0.88,9.19
Monticola saxatilis,0.65,1.09,10.56
Monticola solitarius,0.62,1,10.72
Monticola rufocinereus,0.65,0.98,8.26
Monticola semirufus,0.69,1.12,9.41
Monticola angolensis,0.67,1.06,9.17
Monticola rupestris,0.73,1.2,12.02
Saxicola jerdoni,0.59,1.12,7.22
Saxicola ferreus,0.52,0.99,6.7
Saxicola gutturalis,0.6,1.03,7.07
Saxicola rubetra,0.47,0.97,7.44
Saxicola macrorhynchus,0.57,1.03,7.39
Saxicola insignis,0.51,1.03,7.49
Saxicola caprata,0.53,1.07,7.04
Saxicola leucurus,0.57,1.07,7.05
Saxicola dacotiae,0.55,1.03,6.84
Saxicola torquatus,0.48,0.98,7.05
Saxicola tectes,0.57,0.99,7.03
Campicoloides bifasciatus,0.65,1.21,8.94
Emarginata schlegelii,0.65,1.2,8.79
Emarginata sinuata,0.65,1.19,8.7
Emarginata tractrac,0.66,1.22,8.8
Pinarochroa sordida,0.64,1.18,8
Thamnolaea cinnamomeiventris,0.64,1.35,10.44
Myrmecocichla nigra,0.66,1.29,8.78
Myrmecocichla aethiops,0.71,1.35,9.83
Myrmecocichla tholloni,0.72,1.44,9.52
Myrmecocichla formicivora,0.66,1.3,9.54
Myrmecocichla monticola,0.67,1.29,9.41
Myrmecocichla melaena,0.7,1.25,9.09
Myrmecocichla arnotti,0.68,1.33,9.26
Oenanthe oenanthe,0.53,1.03,9.08
Oenanthe seebohmi,0.46,1,8.03
Oenanthe pileata,0.59,1.11,7.91
Oenanthe frenata,0.46,1,8.03
Oenanthe bottae,0.46,1,8.03
Oenanthe heuglinii,0.46,1,8.03
Oenanthe isabellina,0.54,1.06,8.82
Oenanthe monacha,0.59,1.1,8.14
Oenanthe deserti,0.49,0.96,7.7
Oenanthe hispanica,0.47,0.91,7.27
Oenanthe cypriaca,0.45,0.9,7.14
Oenanthe pleschanka,0.46,0.92,7.64
Oenanthe albifrons,0.61,1.13,7.7
Oenanthe phillipsi,0.58,1.09,7.53
Oenanthe moesta,0.55,1.05,8.14
Oenanthe melanura,0.55,0.99,7.14
Oenanthe familiaris,0.59,1.08,7.46
Oenanthe scotocerca,0.56,0.92,6.85
Oenanthe dubia,0.57,0.94,6.96
Oenanthe fusca,0.52,0.88,6.84
Oenanthe picata,0.51,0.98,7.73
Oenanthe leucura,0.65,1.27,9.83
Oenanthe leucopyga,0.57,1.07,8.01
Oenanthe albonigra,0.54,1.01,7.8
Oenanthe finschii,0.49,0.99,7.97
Oenanthe lugens,0.53,1,7.57
Oenanthe chrysopygia,0.47,0.95,7.82
Oenanthe xanthoprymna,0.48,0.95,7.65
Pinarornis plumosus,0.73,1.53,10.65
Regulus calendula,0.33,1.01,6.78
Regulus satrapa,0.31,0.97,6.48
Regulus goodfellowi,0.43,0.92,6
Regulus regulus,0.36,0.85,5.9
Regulus madeirensis,0.47,0.98,6.52
Regulus ignicapilla,0.33,0.99,6.46
Dulus dominicus,0.65,1.4,11.37
Hypocolius ampelinus,0.58,1.32,11.49
Hylocitrea bonensis,0.68,1.14,8.97
Hylocitrea bonthaina,0.59,1.14,9.97
Bombycilla garrulus,0.57,1.04,12.17
Bombycilla japonica,0.55,1.11,11.36
Bombycilla cedrorum,0.49,1.01,10.63
Phainoptila melanoxantha,0.7,1.56,11.88
Phainopepla nitens,0.57,1.06,10.18
Ptiliogonys cinereus,0.72,1.37,10.64
Ptiliogonys caudatus,0.72,1.39,10.34
Moho braccatus,0.59,1.14,9.97
Moho apicalis,0.59,1.14,9.97
Moho bishopi,0.59,1.14,9.97
Moho nobilis,0.59,1.14,9.97
Chaetoptila angustipluma,0.59,1.14,9.97
Elachura formosa,0.52,0.85,6.31
Promerops cafer,0.71,1.69,11.56
Promerops gurneyi,0.75,1.83,11.91
Arcanator orostruthus,0.69,1.21,8.78
Modulatrix stictigula,0.71,1.34,9.93
Kakamega poliothorax,0.71,1.42,9.18
Irena puella,0.69,1.54,13.54
Irena tweeddalii,0.59,1.14,16.1
Irena cyanogastra,0.71,1.56,14.22
Chloropsis media,0.67,1.31,10.07
Chloropsis sonnerati,0.69,1.4,10.76
Chloropsis cyanopogon,0.65,1.22,9.37
Chloropsis palawanensis,0.68,1.2,8.66
Chloropsis flavipennis,0.66,1.34,10.45
Chloropsis aurifrons,0.64,1.34,10.83
Chloropsis venusta,0.69,1.16,9.1
Chloropsis jerdoni,0.58,1.19,10.01
Chloropsis hardwickii,0.64,1.34,10.97
Chloropsis lazulina,0.59,1.14,9.97
Chloropsis kinabaluensis,0.65,1.24,9.61
Chloropsis moluccensis,0.59,1.14,9.97
Chloropsis cochinchinensis,0.59,1.14,9.97
Prionochilus olivaceus,0.57,1.03,8.21
Prionochilus maculatus,0.57,1.06,7.9
Prionochilus thoracicus,0.62,0.92,7.22
Prionochilus xanthopygius,0.58,0.99,7.69
Prionochilus percussus,0.6,1.08,7.86
Prionochilus plateni,0.57,1.01,8.01
Dicaeum melanozanthum,0.55,0.98,5.43
Dicaeum chrysorrheum,0.56,1.04,6.19
Dicaeum vincens,0.58,1.07,6.16
Dicaeum annae,0.58,1.05,5.96
Dicaeum agile,0.54,1.03,6.27
Dicaeum everetti,0.61,0.91,5.2
Dicaeum proprium,0.59,1.05,5.96
Dicaeum anthonyi,0.58,1.08,6.26
Dicaeum kampalili,0.59,1.14,6.73
Dicaeum bicolor,0.57,1.03,5.9
Dicaeum aureolimbatum,0.58,1.01,5.63
Dicaeum trigonostigma,0.54,1,5.78
Dicaeum australe,0.57,1.02,5.85
Dicaeum haematostictum,0.68,1.14,6.28
Dicaeum retrocinctum,0.55,0.96,5.55
Dicaeum quadricolor,0.57,1.01,5.79
Dicaeum hypoleucum,0.56,1,5.76
Dicaeum nigrilore,0.59,1.07,6.05
Dicaeum erythrorhynchos,0.56,1.01,6.12
Dicaeum concolor,0.53,0.97,5.79
Dicaeum minullum,0.59,1.14,6.73
Dicaeum pygmaeum,0.53,0.92,5.27
Dicaeum nehrkorni,0.58,1.01,5.67
Dicaeum schistaceiceps,0.59,1.14,6.73
Dicaeum erythrothorax,0.59,1.14,6.73
Dicaeum vulneratum,0.58,1.02,5.75
Dicaeum pectorale,0.58,0.99,5.56
Dicaeum sanguinolentum,0.57,1.01,5.76
Dicaeum wilhelminae,0.59,1.14,6.73
Dicaeum hanieli,0.59,1.14,6.73
Dicaeum cruentatum,0.5,0.91,5.6
Dicaeum trochileum,0.61,0.91,5.22
Dicaeum igniferum,0.57,1.01,5.77
Dicaeum maugei,0.58,1.07,6.22
Dicaeum celebicum,0.51,0.94,5.46
Dicaeum monticolum,0.58,1.01,5.68
Dicaeum ignipectus,0.53,0.95,5.96
Dicaeum cambodianum,0.59,1.14,6.73
Dicaeum beccarii,0.59,1.14,6.73
Dicaeum luzoniense,0.59,1.14,6.73
Dicaeum aeneum,0.61,0.93,5.36
Dicaeum eximium,0.57,1,5.65
Dicaeum tristrami,0.59,1.08,6.17
Dicaeum nitidum,0.57,1.01,5.81
Dicaeum keiense,0.59,1.14,6.73
Dicaeum ignicolle,0.59,1.14,6.73
Dicaeum hirundinaceum,0.59,1.14,9.7
Dicaeum geelvinkianum,0.6,0.96,5.42
Arachnothera crassirostris,0.65,1.03,6.01
Arachnothera robusta,0.7,1.29,6.91
Arachnothera longirostra,0.64,1.08,6.12
Arachnothera dilutior,0.59,1.14,5.25
Arachnothera flammifera,0.59,1.14,5.25
Arachnothera hypogrammica,0.63,1.06,5.92
Arachnothera juliae,0.65,1.25,7.21
Arachnothera clarae,0.68,1.16,6.95
Arachnothera chrysogenys,0.64,1.31,7.17
Arachnothera magna,0.69,1.29,7.53
Arachnothera flavigaster,0.68,1.36,7.75
Arachnothera affinis,0.72,1.4,6.6
Arachnothera modesta,0.59,1.14,5.25
Chalcoparia singalensis,0.62,1.06,7.14
Deleornis fraseri,0.59,1.14,9.97
Deleornis axillaris,0.59,1.14,9.97
Anthreptes reichenowi,0.59,0.99,8.49
Anthreptes anchietae,0.64,1.09,8.84
Anthreptes simplex,0.63,1.07,8.46
Anthreptes malacensis,0.64,1.13,8.95
Anthreptes griseigularis,0.59,1.14,11.75
Anthreptes rhodolaemus,0.69,1.25,9.69
Anthreptes gabonicus,0.71,1.24,9.87
Anthreptes longuemarei,0.66,1.17,9.15
Anthreptes orientalis,0.66,1.15,8.97
Anthreptes neglectus,0.58,0.93,9.81
Anthreptes aurantius,0.61,1.14,10.16
Anthreptes seimundi,0.56,1.02,9.24
Anthreptes rectirostris,0.65,1.09,9.77
Anthreptes tephrolaemus,0.59,1.14,11.75
Anthreptes rubritorques,0.59,1.12,10.33
Hedydipna collaris,0.67,0.98,6.58
Hedydipna platura,0.71,1.04,7.74
Hedydipna metallica,0.7,1.01,7.75
Hedydipna pallidigaster,0.65,0.94,6.41
Anabathmis reichenbachii,0.69,1.2,8.43
Anabathmis hartlaubii,0.64,1.11,7.22
Anabathmis newtonii,0.62,0.99,7.16
Dreptes thomensis,0.65,1.34,9.91
Anthobaphes violacea,0.61,1.04,7.27
Cyanomitra verticalis,0.64,1.16,8.4
Cyanomitra bannermani,0.64,1.15,8.63
Cyanomitra cyanolaema,0.65,1.19,8.62
Cyanomitra oritis,0.62,1.1,8.13
Cyanomitra alinae,0.64,1.19,7.69
Cyanomitra olivacea,0.58,1.14,8.47
Cyanomitra verreauxii,0.64,1.15,8.83
Chalcomitra adelberti,0.55,0.92,7.16
Chalcomitra fuliginosa,0.65,1.12,8.09
Chalcomitra rubescens,0.58,1.11,8.33
Chalcomitra amethystina,0.64,1.1,8.48
Chalcomitra senegalensis,0.65,1.12,8.2
Chalcomitra hunteri,0.61,1.19,8.85
Chalcomitra balfouri,0.6,1.02,7.87
Leptocoma zeylonica,0.56,1.04,6.75
Leptocoma minima,0.6,0.94,5.73
Leptocoma brasiliana,0.59,1.14,4.5
Leptocoma sperata,0.59,1.14,4.5
Leptocoma juliae,0.59,1.14,4.5
Leptocoma aspasia,0.56,1.06,6.51
Leptocoma calcostetha,0.63,1.05,6.12
Nectarinia bocagii,0.61,1.2,8.86
Nectarinia purpureiventris,0.67,1.15,7.93
Nectarinia tacazze,0.69,1.21,8.5
Nectarinia kilimensis,0.69,1.22,8.5
Nectarinia famosa,0.67,1.16,8.6
Nectarinia johnstoni,0.69,1.22,8.39
Drepanorhynchus reichenowi,0.67,1.28,8.09
Cinnyris chloropygius,0.66,0.98,10.51
Cinnyris minullus,0.68,1,10.64
Cinnyris gertrudis,0.62,1.14,10.69
Cinnyris manoensis,0.62,1.14,10.69
Cinnyris chalybeus,0.68,1.02,12.28
Cinnyris neergaardi,0.66,0.98,11.42
Cinnyris afer,0.62,1.14,10.69
Cinnyris stuhlmanni,0.62,1.14,10.69
Cinnyris prigoginei,0.62,1.14,10.69
Cinnyris ludovicensis,0.62,1.14,10.69
Cinnyris reichenowi,0.69,1.04,11.05
Cinnyris regius,0.71,1.07,11.25
Cinnyris rockefelleri,0.67,0.83,10.42
Cinnyris mediocris,0.35,1.14,6.1
Cinnyris usambaricus,0.62,1.14,10.69
Cinnyris fuelleborni,0.69,0.9,11.56
Cinnyris moreaui,0.69,0.91,11.45
Cinnyris loveridgei,0.68,1.04,12.92
Cinnyris pulchellus,0.62,1.14,5.67
Cinnyris melanogastrus,0.62,1.14,10.69
Cinnyris mariquensis,0.65,1.14,13.21
Cinnyris shelleyi,0.71,1.1,12.13
Cinnyris congensis,0.67,0.9,11.62
Cinnyris erythrocercus,0.68,1.05,11.24
Cinnyris nectarinioides,0.67,0.97,10.25
Cinnyris bifasciatus,0.76,1.14,10.69
Cinnyris tsavoensis,0.62,1.14,10.69
Cinnyris chalcomelas,0.7,0.9,11.24
Cinnyris pembae,0.64,1.1,12.28
Cinnyris bouvieri,0.68,1.05,11.22
Cinnyris osea,0.62,1.04,12.14
Cinnyris habessinicus,0.62,1.14,10.69
Cinnyris hellmayri,0.62,1.14,10.69
Cinnyris coccinigastrus,0.73,1.2,12.96
Cinnyris johannae,0.68,1.21,13.18
Cinnyris superbus,0.74,1.24,13.06
Cinnyris rufipennis,0.64,1.02,12.7
Cinnyris oustaleti,0.7,0.96,11.09
Cinnyris talatala,0.69,1.1,11.09
Cinnyris venustus,0.67,0.99,10.61
Cinnyris fuscus,0.66,0.99,11.77
Cinnyris ursulae,0.69,1.03,11.07
Cinnyris batesi,0.63,1.05,11.46
Cinnyris cupreus,0.63,1.08,11.88
Cinnyris asiaticus,0.63,1.06,12.67
Cinnyris jugularis,0.62,1.14,9
Cinnyris idenburgi,0.62,1.14,10.69
Cinnyris buettikoferi,0.7,0.93,11.88
Cinnyris solaris,0.7,0.93,11.85
Cinnyris sovimanga,0.67,1.01,11.6
Cinnyris humbloti,0.7,1.07,11.6
Cinnyris comorensis,0.71,1.13,11.03
Cinnyris coquerellii,0.69,0.92,10.72
Cinnyris dussumieri,0.73,1.18,12.49
Cinnyris moebii,0.62,1.14,10.69
Cinnyris voeltzkowi,0.62,1.14,10.69
Cinnyris notatus,0.62,1.14,10.69
Cinnyris lotenius,0.66,1.01,11.43
Aethopyga duyvenbodei,0.59,0.85,5.03
Aethopyga ignicauda,0.61,1,6.11
Aethopyga saturata,0.54,0.98,5.95
Aethopyga nipalensis,0.6,0.96,5.84
Aethopyga gouldiae,0.58,0.9,5.53
Aethopyga temminckii,0.59,1.14,4
Aethopyga mystacalis,0.59,1.14,4
Aethopyga shelleyi,0.54,0.83,4.85
Aethopyga vigorsii,0.59,1.14,4
Aethopyga siparaja,0.59,1.14,4
Aethopyga magnifica,0.59,1.14,4
Aethopyga pulcherrima,0.57,0.91,5.32
Aethopyga flagrans,0.58,0.87,5.3
Aethopyga guimarasensis,0.59,1.14,4
Aethopyga bella,0.55,0.79,4.76
Aethopyga eximia,0.58,0.85,5.08
Aethopyga latouchii,0.59,1.14,4
Aethopyga christinae,0.59,1.14,4
Aethopyga linaraborae,0.59,0.88,5.26
Aethopyga primigenia,0.59,0.88,5.23
Aethopyga boltoni,0.59,0.88,5.24
Prunella himalayana,0.54,1.05,10.8
Prunella collaris,0.6,1.18,11.72
Prunella immaculata,0.57,0.99,10.56
Prunella rubeculoides,0.53,0.96,11.09
Prunella strophiata,0.55,0.98,9.43
Prunella fulvescens,0.55,0.99,10.08
Prunella koslowi,0.54,0.97,10.04
Prunella rubida,0.54,1,9.86
Prunella montanella,0.47,0.9,9.92
Prunella modularis,0.5,0.91,10.96
Prunella atrogularis,0.55,1.02,10.47
Prunella ocularis,0.6,1.04,11.17
Peucedramus taeniatus,0.58,1,7.32
Urocynchramus pylzowi,0.55,1.06,10.05
Bubalornis albirostris,0.72,1.34,15.66
Bubalornis niger,0.65,1.27,16.53
Dinemellia dinemelli,0.6,1.18,10.84
Plocepasser mahali,0.65,1.19,10.05
Plocepasser superciliosus,0.6,1.11,9.93
Plocepasser donaldsoni,0.7,1.23,9.63
Plocepasser rufoscapulatus,0.61,1.15,10.36
Histurgops ruficauda,0.73,1.36,10.7
Sporopipes squamifrons,0.5,0.88,8.29
Sporopipes frontalis,0.48,0.96,8.62
Pseudonigrita arnaudi,0.67,1.07,8.42
Pseudonigrita cabanisi,0.57,0.99,8.71
Philetairus socius,0.66,1.14,9.51
Amblyospiza albifrons,0.66,1.19,9.81
Quelea cardinalis,0.46,1.59,8.51
Quelea erythrops,0.44,1.66,9.19
Quelea quelea,0.48,1.71,9.24
Euplectes afer,0.46,0.89,8.16
Euplectes aureus,0.62,1.08,8.71
Euplectes gierowii,0.61,1.1,9.01
Euplectes franciscanus,0.58,1.04,9
Euplectes ardens,0.57,1.02,8.56
Euplectes laticauda,0.57,1.14,9.97
Euplectes diadematus,0.47,0.88,8.05
Euplectes hordeaceus,0.54,0.98,8.58
Euplectes nigroventris,0.5,0.9,8.02
Euplectes orix,0.61,1.1,9.08
Euplectes capensis,0.55,1.07,9.62
Euplectes macroura,0.5,0.96,8.77
Euplectes axillaris,0.5,0.99,9.18
Euplectes albonotatus,0.48,0.95,9
Euplectes hartlaubi,0.61,1.15,9.58
Euplectes jacksoni,0.58,1.11,9.7
Euplectes psammacromius,0.61,1.15,9.58
Euplectes progne,0.54,1.1,10.19
Foudia madagascariensis,0.56,1,9.13
Foudia aldabrana,0.59,1.14,9.97
Foudia consobrina,0.59,1.14,9.97
Foudia eminentissima,0.59,1.14,9.97
Foudia omissa,0.64,1.06,8.72
Foudia delloni,0.59,1.14,9.97
Foudia rubra,0.59,1.14,9.97
Foudia sechellarum,0.69,1.27,8.24
Foudia flavicans,0.63,1.05,7.8
Brachycope anomala,0.54,0.99,9.03
Ploceus baglafecht,0.66,1.58,7.66
Ploceus bannermani,0.7,1.6,8.23
Ploceus batesi,0.69,1.6,7.38
Ploceus nigrimentus,0.69,1.55,8.01
Ploceus bertrandi,0.57,1.47,8.94
Ploceus pelzelni,0.6,1.3,7.92
Ploceus subpersonatus,0.56,1.37,8.13
Ploceus luteolus,0.6,1.34,7.26
Ploceus ocularis,0.64,1.52,7.45
Ploceus brachypterus,0.48,1.5,11
Ploceus nigricollis,0.48,1.5,11
Ploceus alienus,0.69,1.54,7.11
Ploceus melanogaster,0.69,1.54,7.09
Ploceus capensis,0.64,1.64,9.35
Ploceus temporalis,0.65,1.62,9.63
Ploceus subaureus,0.55,1.4,8.53
Ploceus xanthops,0.66,1.62,8.83
Ploceus aurantius,0.64,1.46,8.89
Ploceus heuglini,0.68,1.55,7.28
Ploceus bojeri,0.64,1.44,7.64
Ploceus castaneiceps,0.53,1.27,7.62
Ploceus princeps,0.7,1.6,8.16
Ploceus castanops,0.55,1.31,7.76
Ploceus xanthopterus,0.62,1.44,7.95
Ploceus burnieri,0.52,1.27,7.67
Ploceus galbula,0.53,1.31,8.04
Ploceus taeniopterus,0.52,1.26,7.66
Ploceus intermedius,0.63,1.46,7.17
Ploceus velatus,0.63,1.53,8.6
Ploceus upembae,0.59,1.5,11
Ploceus katangae,0.59,1.5,11
Ploceus ruweti,0.64,1.49,8.08
Ploceus reichardi,0.55,1.37,8.24
