Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Podiceps nigricollis,0.79,1.88,11.84
Podiceps andinus,0.78,1.99,10.29
Podiceps juninensis,0.78,2,12.13
Podiceps occipitalis,0.77,1.76,10.79
Podiceps taczanowskii,0.78,2.01,11.01
Podiceps gallardoi,0.85,2.25,14.04
Aechmophorus occidentalis,0.78,1.58,17.7
Aechmophorus clarkii,0.78,1.57,17.35
Phoenicopterus roseus,0.92,3.45,34.05
Phoenicopterus ruber,0.92,3.45,35.32
Phoenicopterus chilensis,0.92,3.33,32.32
Phoeniconaias minor,0.9,3.07,33.35
Phoenicoparrus andinus,0.9,3.2,30.84
Phoenicoparrus jamesi,0.87,2.68,25.99
Phaethon aethereus,0.87,3.91,23.05
Phaethon rubricauda,0.86,3.83,22.92
Phaethon lepturus,0.84,3.32,19.18
Rhynochetos jubatus,0.86,2.25,22.39
Eurypyga helias,0.77,2.11,14.4
Mesitornis variegatus,0.77,1.77,12.17
Mesitornis unicolor,0.8,2.02,13.52
Monias benschi,0.8,1.91,13.2
Columba livia,0.68,1.09,16.88
Columba rupestris,0.65,1.01,16.39
Columba leuconota,0.63,1.04,16.18
Columba guinea,0.68,1.08,14.91
Columba albitorques,0.66,1.03,14.71
Columba oenas,0.64,1.04,17.35
Columba eversmanni,0.61,0.97,15.59
Columba oliviae,0.71,1.14,15.87
Columba palumbus,0.67,1.16,19.16
Columba trocaz,0.72,1.33,18.27
Columba bollii,0.7,1.24,16.78
Columba junoniae,0.73,1.16,15.45
Columba unicincta,0.71,1.3,15.81
Columba arquatrix,0.71,1.3,16.5
Columba sjostedti,0.71,1.14,15.61
Columba thomensis,0.76,1.31,16.47
Columba pollenii,0.7,1.24,15.77
Columba hodgsonii,0.67,1.24,16.86
Columba albinucha,0.7,1.25,15.22
Columba pulchricollis,0.68,1.21,16.37
Columba elphinstonii,0.71,1.29,16.47
Columba torringtoniae,0.7,1.24,15.47
Columba punicea,0.73,1.22,17.75
Columba argentina,0.7,1.24,15.21
Columba palumboides,0.76,1.36,17.56
Columba janthina,0.7,1.2,17.96
Columba versicolor,0.6,1,17.28
Columba jouyi,0.6,1,17.28
Columba vitiensis,0.74,1.19,14.34
Columba leucomela,0.74,1.28,16.87
Columba pallidiceps,0.78,1.19,15.5
Columba delegorguei,0.61,0.97,12.52
Columba iriditorques,0.64,1.04,12.74
Columba malherbii,0.74,1.23,15.48
Columba thiriouxi,0.6,1,17.28
Aplopelia larvata,0.79,1.85,13.51
Streptopelia turtur,0.58,1.12,11.94
Streptopelia lugens,0.57,1.1,11.35
Streptopelia hypopyrrha,0.57,1.11,11.64
Streptopelia orientalis,0.57,1.19,14.21
