Avibase.ID,Species1_BirdLife,Species2_eBird,Species3_BirdTree
AVIBASE-EDEE3E5C,Promerops gurneyi,Promerops gurneyi,Promerops gurneyi
AVIBASE-40EB31D0,Prosobonia parvirostris,Prosobonia parvirostris,Prosobonia cancellata
AVIBASE-727125B5,Prosopeia personata,Prosopeia personata,Prosopeia personata
AVIBASE-A24459F6,Prosopeia splendens,Prosopeia splendens,Prosopeia splendens
AVIBASE-EDBDE745,Prosopeia tabuensis,Prosopeia tabuensis,Prosopeia tabuensis
AVIBASE-0A0D3BB9,Prosthemadera novaeseelandiae,Prosthemadera novaeseelandiae,Prosthemadera novaeseelandiae
AVIBASE-4D08EE7E,Protonotaria citrea,Protonotaria citrea,Protonotaria citrea
AVIBASE-C68A31C1,Prunella atrogularis,Prunella atrogularis,Prunella atrogularis
AVIBASE-A783468F,Prunella collaris,Prunella collaris,Prunella collaris
AVIBASE-AEBE407C,Prunella fulvescens,Prunella fulvescens,Prunella fulvescens
AVIBASE-EB8501AD,Prunella himalayana,Prunella himalayana,Prunella himalayana
AVIBASE-D47C1AA7,Prunella immaculata,Prunella immaculata,Prunella immaculata
AVIBASE-38790757,Prunella koslowi,Prunella koslowi,Prunella koslowi
AVIBASE-26530C86,Prunella modularis,Prunella modularis,Prunella modularis
